trip_id,arrival_time,departure_time,stop_id,stop_sequence
T100-EST-2,07:23:00,07:23:00,50377,23
T100-EST-2,07:24:00,07:24:00,56140,24
T100-EST-2,07:25:00,07:25:00,56141,25
T100-EST-2,07:26:00,07:26:00,56142,26
T100-EST-2,07:27:00,07:27:00,56143,27
T100-EST-2,07:28:00,07:28:00,56144,28
T100-EST-2,07:29:00,07:29:00,56145,29
T100-EST-2,07:30:00,07:30:00,56115,30
T100-EST-2,07:31:00,07:31:00,56118,31
T100-EST-2,07:32:00,07:32:00,56114,32
T100-EST-2,07:33:00,07:33:00,56119,33
T100-EST-2,07:34:00,07:34:00,50561,34
T100-EST-2,07:35:00,07:35:00,53948,35
T100-EST-2,07:36:00,07:36:00,50579,36
T100-EST-2,07:37:00,07:37:00,50657,37
T100-EST-2,07:38:00,07:38:00,50681,38
T100-EST-2,07:39:00,07:39:00,50665,39
T100-EST-2,07:40:00,07:40:00,50671,40
T100-EST-2,07:41:00,07:41:00,50720,41
T100-EST-2,07:42:00,07:42:00,50734,42
T100-EST-2,07:43:00,07:43:00,50769,43
T100-EST-3,08:01:00,08:01:00,62013,1
T100-EST-3,08:02:00,08:02:00,55479,2
T100-EST-3,08:03:00,08:03:00,55857,3
T100-EST-3,08:04:00,08:04:00,55515,4
T100-EST-3,08:05:00,08:05:00,55858,5
T100-EST-3,08:06:00,08:06:00,55539,6
T100-EST-3,08:07:00,08:07:00,55538,7
T100-EST-3,08:08:00,08:08:00,55988,8
T100-EST-3,08:09:00,08:09:00,62017,9
T100-EST-3,08:10:00,08:10:00,62016,10
T100-EST-3,08:11:00,08:11:00,62015,11
T100-EST-3,08:12:00,08:12:00,62032,12
T100-EST-3,08:13:00,08:13:00,62014,13
T100-EST-3,08:14:00,08:14:00,55513,14
T100-EST-3,08:15:00,08:15:00,55544,15
T100-EST-3,08:16:00,08:16:00,55553,16
T100-EST-3,08:17:00,08:17:00,55600,17
T100-EST-3,08:18:00,08:18:00,55621,18
T100-EST-3,08:19:00,08:19:00,56110,19
T100-EST-3,08:20:00,08:20:00,56139,20
T100-EST-3,08:21:00,08:21:00,56120,21
T100-EST-3,08:22:00,08:22:00,50398,22
T100-EST-3,08:23:00,08:23:00,50377,23
T100-EST-3,08:24:00,08:24:00,56140,24
T100-EST-3,08:25:00,08:25:00,56141,25
T100-EST-3,08:26:00,08:26:00,56142,26
T100-EST-3,08:27:00,08:27:00,56143,27
T100-EST-3,08:28:00,08:28:00,56144,28
T100-EST-3,08:29:00,08:29:00,56145,29
T100-EST-3,08:30:00,08:30:00,56115,30
T100-EST-3,08:31:00,08:31:00,56118,31
T100-EST-3,08:32:00,08:32:00,56114,32
T100-EST-3,08:33:00,08:33:00,56119,33
T100-EST-3,08:34:00,08:34:00,50561,34
T100-EST-3,08:35:00,08:35:00,53948,35
T100-EST-3,08:36:00,08:36:00,50579,36
T100-EST-3,08:37:00,08:37:00,50657,37
T100-EST-3,08:38:00,08:38:00,50681,38
T100-EST-3,08:39:00,08:39:00,50665,39
T100-EST-3,08:40:00,08:40:00,50671,40
T100-EST-3,08:41:00,08:41:00,50720,41
T100-EST-3,08:42:00,08:42:00,50734,42
T100-EST-3,08:43:00,08:43:00,50769,43
T100-EST-4,09:01:00,09:01:00,62013,1
T100-EST-4,09:02:00,09:02:00,55479,2
T100-EST-4,09:03:00,09:03:00,55857,3
T100-EST-4,09:04:00,09:04:00,55515,4
T100-EST-4,09:05:00,09:05:00,55858,5
T100-EST-4,09:06:00,09:06:00,55539,6
T100-EST-4,09:07:00,09:07:00,55538,7
T100-EST-4,09:08:00,09:08:00,55988,8
T100-EST-4,09:09:00,09:09:00,62017,9
T100-EST-4,09:10:00,09:10:00,62016,10
T100-EST-4,09:11:00,09:11:00,62015,11
T100-EST-4,09:12:00,09:12:00,62032,12
T100-EST-4,09:13:00,09:13:00,62014,13
T100-EST-4,09:14:00,09:14:00,55513,14
T100-EST-4,09:15:00,09:15:00,55544,15
T100-EST-4,09:16:00,09:16:00,55553,16
T100-EST-4,09:17:00,09:17:00,55600,17
T100-EST-4,09:18:00,09:18:00,55621,18
T100-EST-4,09:19:00,09:19:00,56110,19
T100-EST-4,09:20:00,09:20:00,56139,20
T100-EST-4,09:21:00,09:21:00,56120,21
T100-EST-4,09:22:00,09:22:00,50398,22
T100-EST-4,09:23:00,09:23:00,50377,23
T100-EST-4,09:24:00,09:24:00,56140,24
T100-EST-4,09:25:00,09:25:00,56141,25
T100-EST-4,09:26:00,09:26:00,56142,26
T100-EST-4,09:27:00,09:27:00,56143,27
T100-EST-4,09:28:00,09:28:00,56144,28
T100-EST-4,09:29:00,09:29:00,56145,29
T100-EST-4,09:30:00,09:30:00,56115,30
T100-EST-4,09:31:00,09:31:00,56118,31
T100-EST-4,09:32:00,09:32:00,56114,32
T100-EST-4,09:33:00,09:33:00,56119,33
T100-EST-4,09:34:00,09:34:00,50561,34
T100-EST-4,09:35:00,09:35:00,53948,35
T100-EST-4,09:36:00,09:36:00,50579,36
T100-EST-4,09:37:00,09:37:00,50657,37
T100-EST-4,09:38:00,09:38:00,50681,38
T100-EST-4,09:39:00,09:39:00,50665,39
T100-EST-4,09:40:00,09:40:00,50671,40
T100-EST-4,09:41:00,09:41:00,50720,41
T100-EST-4,09:42:00,09:42:00,50734,42
T100-EST-4,09:43:00,09:43:00,50769,43
T100-OUEST-1,06:02:00,06:02:00,61573,1
T100-OUEST-1,06:04:00,06:04:00,55356,2
T100-OUEST-1,06:06:00,06:06:00,55843,3
T100-OUEST-1,06:08:00,06:08:00,55655,4
T100-OUEST-1,06:10:00,06:10:00,55855,5
T100-OUEST-1,06:12:00,06:12:00,55602,6
T100-OUEST-1,06:14:00,06:14:00,62018,7
T100-OUEST-1,06:16:00,06:16:00,55511,8
T100-OUEST-1,06:18:00,06:18:00,55494,9
T100-OUEST-1,06:20:00,06:20:00,62033,10
T100-OUEST-1,06:22:00,06:22:00,62019,11
T100-OUEST-1,06:24:00,06:24:00,62376,12
T100-OUEST-1,06:26:00,06:26:00,62030,13
T100-OUEST-1,06:28:00,06:28:00,55540,14
T100-OUEST-1,06:30:00,06:30:00,55881,15
T100-OUEST-1,06:32:00,06:32:00,55514,16
T100-OUEST-1,06:34:00,06:34:00,55481,17
T100-OUEST-1,06:36:00,06:36:00,55908,18
T100-OUEST-1,06:38:00,06:38:00,55482,19
T100-OUEST-1,06:40:00,06:40:00,62013,20
T100-OUEST-2,08:02:00,08:02:00,61573,1
T100-OUEST-2,08:04:00,08:04:00,55356,2
T100-OUEST-2,08:06:00,08:06:00,55843,3
T100-OUEST-2,08:08:00,08:08:00,55655,4
T100-OUEST-2,08:10:00,08:10:00,55855,5
T100-OUEST-2,08:12:00,08:12:00,55602,6
T100-OUEST-2,08:14:00,08:14:00,62018,7
T100-OUEST-2,08:16:00,08:16:00,55511,8
T100-OUEST-2,08:18:00,08:18:00,55494,9
T100-OUEST-2,08:20:00,08:20:00,62033,10
T100-OUEST-2,08:22:00,08:22:00,62019,11
T100-OUEST-2,08:24:00,08:24:00,62376,12
T100-OUEST-2,08:26:00,08:26:00,62030,13
T100-OUEST-2,08:28:00,08:28:00,55540,14
T100-OUEST-2,08:30:00,08:30:00,55881,15
T100-OUEST-2,08:32:00,08:32:00,55514,16
T100-OUEST-2,08:34:00,08:34:00,55481,17
T100-OUEST-2,08:36:00,08:36:00,55908,18
T100-OUEST-2,08:38:00,08:38:00,55482,19
T100-OUEST-2,08:40:00,08:40:00,62013,20
T100-OUEST-3,16:02:00,16:02:00,61573,1
T100-OUEST-3,16:04:00,16:04:00,55356,2
T100-OUEST-3,16:06:00,16:06:00,55843,3
T100-OUEST-3,16:08:00,16:08:00,55655,4
T100-OUEST-3,16:10:00,16:10:00,55855,5
T100-OUEST-3,16:12:00,16:12:00,55602,6
T100-OUEST-3,16:14:00,16:14:00,62018,7
T100-OUEST-3,16:16:00,16:16:00,55511,8
T100-OUEST-3,16:18:00,16:18:00,55494,9
T100-OUEST-3,16:20:00,16:20:00,62033,10
T100-OUEST-3,16:22:00,16:22:00,62019,11
T100-OUEST-3,16:24:00,16:24:00,62376,12
T100-OUEST-3,16:26:00,16:26:00,62030,13
T100-OUEST-3,16:28:00,16:28:00,55540,14
T100-OUEST-3,16:30:00,16:30:00,55881,15
T100-OUEST-3,16:32:00,16:32:00,55514,16
T100-OUEST-3,16:34:00,16:34:00,55481,17
T100-OUEST-3,16:36:00,16:36:00,55908,18
T100-OUEST-3,16:38:00,16:38:00,55482,19
T100-OUEST-3,16:40:00,16:40:00,62013,20
T100-OUEST-4,17:02:00,17:02:00,61573,1
T100-OUEST-4,17:04:00,17:04:00,55356,2
T100-OUEST-4,17:06:00,17:06:00,55843,3
T100-OUEST-4,17:08:00,17:08:00,55655,4
T100-OUEST-4,17:10:00,17:10:00,55855,5
T100-OUEST-4,17:12:00,17:12:00,55602,6
T100-OUEST-4,17:14:00,17:14:00,62018,7
T100-OUEST-4,17:16:00,17:16:00,55511,8
T100-OUEST-4,17:18:00,17:18:00,55494,9
T100-OUEST-4,17:20:00,17:20:00,62033,10
T100-OUEST-4,17:22:00,17:22:00,62019,11
T100-OUEST-4,17:24:00,17:24:00,62376,12
T100-OUEST-4,17:26:00,17:26:00,62030,13
T100-OUEST-4,17:28:00,17:28:00,55540,14
T100-OUEST-4,17:30:00,17:30:00,55881,15
T100-OUEST-4,17:32:00,17:32:00,55514,16
T100-OUEST-4,17:34:00,17:34:00,55481,17
T100-OUEST-4,17:36:00,17:36:00,55908,18
T100-OUEST-4,17:38:00,17:38:00,55482,19
T100-OUEST-4,17:40:00,17:40:00,62013,20
